#Sample         x-sec [pb]
#-------------------------
# HbbjjaSM125 ------------
343388          0.06588
# ZbbjjaEWK --------------
343390          0.05816
# ZbbjjaQCD --------------
343391          2.671
# NonResbbjja ------------
343392          766.7
# GammaJet ---------------
343279          229268.0845
343281          250711.0689
343283          39450.74773
361039          14354.87664
361040          17006.34474
361041          3763.41504
361042          1250.3484
361043          1510.026471
361044          367.696256
361045          101.5593309
361046          124.3975876
361047          32.1038938
361048          5.70950432
361049          6.44751333
361050          1.95193306
361051          0.352955948
361052          0.434633838
361053          0.138955321
361054          0.006826476
361055          0.008585541
361056          0.002999935
361057          2.9266e-05
361058          3.7468e-05
361059          1.388e-05
361060          1.0e-9
361061          1.05e-9
361062          3.8e-10
